"Target","M25079_s_at","HG1428.HT1428_s_at","hum_alu_at","D86974_at","M26602_at","D49824_s_at","Z84721_cds2_at","L06499_at","M26311_s_at","X00274_at","J04617_s_at","X57351_s_at","Z19554_s_at","AFFX.HSAC07.X00351_M_at","M63438_s_at","M11147_at","M19507_at","HG2887.HT3031_at","Z12962_at","M13560_s_at","M27891_at","V00594_s_at","X00437_s_at","AFFX.HUMGAPDH.M33197_5_at","M96326_rna1_at","AFFX.M27830_5_at","X00351_f_at","Z70759_at","M27783_s_at","M91036_rna1_at","M20203_s_at","L19779_at","Y00787_s_at","X56681_s_at","AFFX.HSAC07.X00351_5_at","M14483_rna1_s_at","M87789_s_at","Y00433_at","V00599_s_at","S71043_rna1_s_at","X82240_rna1_at","X03689_s_at","AFFX.HSAC07.X00351_3_at","M10277_s_at","M17886_at","M69043_at","J04456_at","AFFX.HUMRGE.M10098_5_at","X80822_at","D79205_at","M17733_at","AFFX.M27830_M_at","D64142_at","M12886_at","Z48950_at","HG4319.HT4589_at","X55668_at","M33600_f_at","S82297_at","D32129_f_at","AFFX.HUMGAPDH.M33197_M_at","J03077_s_at","D13413_rna1_s_at","U49869_rna1_at","J00105_s_at","X01677_f_at","D21261_at","M21186_at","U01317_cds4_at","J04990_at","AFFX.HUMGAPDH.M33197_3_at","U14970_at","L38941_at","M94880_f_at","Z48501_s_at","HG658.HT658_f_at","M21005_at","L06797_s_at","HG3576.HT3779_f_at","J04164_at","X69654_at","AFFX.HUMRGE.M10098_3_at","X58529_at","M14328_s_at","X17206_at","X98482_r_at","D78361_at","X68277_at","L20941_at","M13792_at","M28130_rna1_s_at","U06155_s_at","Z23090_at","M84711_at","U43901_rna1_s_at","L20688_at","X14008_rna1_f_at","Z28407_at","M19045_f_at","HG2815.HT4023_s_at","X78992_at","U14973_at","S73591_at","M21119_s_at","M17885_at","M34516_at","M84526_at","L26247_at","J03801_f_at","HG3549.HT3751_at","M24194_at","X76223_s_at","M16279_at","U12404_at","X04347_s_at","M11353_at","AFFX.HUMRGE.M10098_M_at","M62831_at","M19283_at","HG2917.HT3061_f_at","X67247_rna1_at","J03592_at","U51240_at","M77232_rna1_at","X04500_at","HG2915.HT3059_f_at","D63874_at","U14971_at","M23613_at","D23660_at","M33680_at","X15183_at","X12447_at","M11722_at","M18000_at","X17042_at","HG33.HT33_at","V00594_at","S54005_s_at","U78027_rna3_at","X52851_rna1_at","M81757_at","Z49148_s_at","U05259_rna1_at","L04483_s_at","HG3364.HT3541_at","U52101_at","U14968_at","X17093_at","M13934_cds2_at"
"ALL",39600,26849,29189,13650,1290,42995,22198,29051,210,16170,24117,9199,5589,20034,545,10026,-30,-8318,21811,14776,49,418,-186,19690,173,30496,14440,23412,164,2733,75,13488,11,9635,14924,11089,1020,8085,7655,395,10693,24046,14555,13213,22230,4024,373,291,20574,20192,19203,15351,3823,210,8981,7847,176,10354,17250,14179,19406,2606,10973,15172,17515,21449,2994,7495,317,277,21859,12573,13460,18125,3830,21379,213,4824,11959,1101,14648,327,4685,5369,28903,12055,10874,4034,3781,2931,-60,20266,3826,13049,17706,12496,701,12554,746,5157,4832,24371,1991,95,20935,373,-83,9089,1160,29875,23048,-249,1976,14298,9541,6802,44,7685,5111,7170,14082,11977,6753,10139,908,6493,2932,9584,5805,13896,5586,4951,4029,5433,12072,283,22367,-1127,6747,11606,5079,19076,15773,3403,18917,21478,2028,15234,7615,13721
"ALL",39827,27432,29906,21486,3409,15586,21987,31530,1138,12996,23771,9280,9880,20711,11639,6574,917,-11535,22298,11941,239,1194,83,11777,703,17714,11534,22388,628,448,68,12168,236,14086,15123,18058,716,5736,5262,162,3935,19749,18758,18796,25683,11194,355,8378,19643,18045,24451,17926,7745,694,8995,14974,38,3937,15417,2535,13011,1270,15816,12372,11228,14085,5873,6098,1536,560,19526,14603,13018,5346,6684,5754,1786,1288,2516,2374,11079,6833,11269,5269,29468,18987,11853,8127,1878,3765,154,19212,3615,12294,19062,16416,2052,12996,2445,7826,4330,21764,4156,44,26742,7354,-321,6336,2102,19970,27841,-37,1834,17962,11676,8171,4246,8666,10216,2719,22918,9783,2854,7798,15,2257,3903,9462,10640,15569,6205,4311,3821,1644,18551,348,15432,-1342,6025,8581,4040,20751,11395,4896,21558,21778,2139,16665,1879,17228
"ALL",10711,11080,20288,13429,2179,28409,7242,23802,2368,16888,15680,10121,11409,20719,1234,8020,-139,-10873,17855,15618,-39,1520,4940,6332,623,319,19953,19182,72,224,-246,4670,2525,15752,16896,8090,254,3298,4163,427,374,25076,18028,16921,19598,15457,291,-25,17180,21843,15229,1714,7726,9515,15028,15861,-56,10763,10695,16414,5905,1815,15619,11727,22109,10325,5244,5597,62,297,7472,17245,20050,15764,6619,16813,2530,13146,8479,6595,12585,-154,4346,3705,26810,14830,8562,5119,3302,1826,1036,17663,1917,16109,17129,11182,876,16627,751,7376,4472,20475,17060,295,22775,194,-28,15224,988,23861,22269,1006,3328,20219,11943,8332,-143,4247,5639,12458,22472,9046,10066,14964,256,12606,2673,13882,9539,16458,3753,5312,3662,1671,19460,1128,14323,-1692,9904,9834,4525,20125,16430,4317,21023,23267,3589,16628,7223,17659
"ALL",27457,23314,23462,17061,746,32358,15505,27087,389,22970,20556,9679,18782,15982,3618,8259,311,-8646,21402,14917,453,2730,1027,7661,185,346,13644,19808,154,859,-174,5834,257,13709,10068,10928,2588,5341,9600,2344,5113,22352,18336,17319,18947,5810,283,31,17416,24027,17962,1313,13500,2514,11375,18172,-134,9792,12759,10204,8189,2230,15373,16707,20132,12625,6221,4620,215,330,12036,13321,14402,7703,5637,10891,843,10156,7128,1947,10174,-218,10455,4707,23849,12773,11773,3518,4953,2694,125,18503,3539,12156,15441,12139,343,11649,499,12437,10779,22570,15973,123,19809,907,-21,13678,519,23947,20507,-9,6633,18236,10783,12692,-190,5952,7605,7297,20753,10990,11334,14770,518,6225,8199,11016,10687,13370,6570,5371,2732,1327,19195,1357,17540,-933,10995,9995,8254,21140,14421,6517,20377,21901,6044,14478,4293,15169
"ALL",19872,19354,19457,13890,8615,29374,13576,19932,5086,15534,14502,14076,21714,19421,2943,8556,87,-12527,15194,12206,163,1498,-293,21537,575,421,19394,16845,43,169,-475,7643,257,13926,13239,15502,1834,12719,9404,2728,2088,22691,16631,17086,17611,5342,18459,32,15309,24352,19052,1618,6726,33,9377,24656,-243,7226,10774,10731,15601,715,20162,10095,19096,16120,11461,10515,389,474,19960,19303,15400,9978,9425,12712,4698,9009,8251,1839,6606,-49,4287,12108,23992,12009,12897,10019,3772,9487,245,16204,2445,15734,15818,17277,2068,14941,2258,11786,5746,19186,8242,514,25139,1622,115,10197,2586,24906,22780,-268,10888,20628,13437,14383,-104,9318,16319,8336,23679,18753,9475,13544,1093,8058,9722,13626,14473,17739,11146,7321,8353,5653,20170,2282,17506,-2170,11208,14291,11096,25169,16363,6101,18270,19708,6833,13558,7314,15722
"ALL",1715,14005,17499,7538,3376,20980,11148,17049,827,16638,10737,18546,17378,19052,2033,11688,777,-10279,14536,14856,-166,1256,2846,22417,271,222,18295,15095,464,4407,-231,4079,151,11569,16371,12125,427,11796,7473,547,14418,23176,16624,15544,16519,5450,1963,53,14028,25277,17351,1233,4693,4555,14199,14669,-77,10201,7912,14015,13884,5153,16860,16717,20699,13564,7875,8445,1298,406,18211,17566,20948,13480,9836,12952,1076,10965,11783,8656,11642,0,5499,7712,26073,16139,10878,6482,6157,5149,68,14219,2682,11219,19270,18448,969,18221,1187,12696,3161,16642,7432,34,22899,924,16,14999,1119,23847,19639,574,3433,21850,13719,14028,-49,11617,13570,12622,20157,12299,11724,17212,3072,12481,7077,14419,14582,16880,10196,6622,5374,4830,17392,2128,18517,-936,15769,15232,10064,21970,15155,4634,17717,20478,10384,16659,5688,15454
"ALL",23021,25026,24611,15401,24,40065,17544,27923,5311,6116,22144,23721,15142,27062,411,14938,-113,-11234,22977,3339,2090,2648,2151,11170,513,200,27517,19831,-23,371,-103,2598,5830,18358,18996,10667,568,6284,8465,1163,4,23353,22681,23891,19955,6227,8190,106,20211,19821,22852,1930,7535,2464,10960,11759,-72,3183,16111,11389,13624,5507,16698,18182,21406,16689,8431,8146,64,284,14872,14021,17295,11222,5901,13192,2206,1133,2310,20520,3763,-295,482,8935,27652,15079,9216,4496,13545,1365,2147,19298,-694,11687,10084,17061,3050,9087,3380,11195,2009,22440,11819,2080,18359,198,149,11105,3274,24616,24548,-134,5533,18557,17386,12819,-38,6654,12764,16832,19572,10610,5736,11234,114,16340,4921,10998,6468,12094,4061,6530,8204,-28,12999,4401,10103,-1805,9121,6823,5707,15345,17014,707,20662,22837,6325,5628,1580,18332
"ALL",28335,27184,43084,14966,25374,17193,20618,44125,9721,8156,32936,7936,9509,25966,164,6448,2269,-9881,33410,9436,359,2828,-74,12594,1767,104,20678,23329,2102,6131,2226,639,32,3452,16561,13301,1762,11855,10113,274,3068,17785,19904,20551,31500,1105,3170,-199,30319,21519,8483,446,2349,47,2419,13705,1378,2761,11673,3145,14427,1844,12013,6730,7379,27768,5522,9913,601,1068,22001,18529,11563,4745,5150,5959,4820,1997,1804,781,4129,-416,1185,8340,36930,16352,11848,713,1275,2506,-69,19545,1043,5482,16404,11696,3360,15398,4975,8061,1507,29556,813,162,26762,2054,-77,1857,4606,21499,25559,-239,1031,16000,13006,7858,-431,1180,8897,4059,16219,9294,3869,10285,-32,3642,7437,11790,7908,14007,4608,4800,11658,1595,22236,2057,17278,-1822,2783,7319,7996,14165,19697,1642,21744,24712,2224,16449,1869,22530
"ALL",52692,38133,49419,24794,25276,27990,24125,38545,9264,20417,33933,10560,8358,13243,471,5598,296,-13390,35344,13129,553,1635,-530,8770,839,355,11757,30475,991,234,453,1238,25,3257,8121,8958,1295,4405,9774,1269,14813,21815,15388,9123,31216,1624,97,0,26329,18305,10706,1817,3007,782,3919,12661,327,7851,16879,5667,7956,2016,11502,7413,13701,15267,4830,10181,1534,839,12076,16307,13088,7117,4472,7179,10094,2178,4923,149,3893,-481,10410,3445,30459,15295,7706,1725,1748,3777,74,23800,2173,12298,16397,13539,1977,14167,1910,6895,-5,27974,1962,769,30173,311,-2,2049,1745,18431,20327,-314,66,15730,11484,9349,-357,1977,5268,4825,23288,4771,4568,12887,702,3919,6445,9251,6246,13312,7622,3558,5188,4537,19109,1102,14239,-1957,3198,8837,6313,18249,13384,4941,15720,21666,983,14059,4292,12854
"ALL",64015,40467,49084,17455,51900,53064,33230,36150,13639,24186,34173,13632,8202,13881,3568,6456,2681,-13436,35055,20253,180,1705,-76,9860,2724,249,17005,28845,8693,282,5780,3927,-104,4455,12180,12897,7463,19415,14191,1217,13380,13754,11217,19948,24041,854,177,-43,28690,20795,17305,1354,7043,-33,4888,6115,4788,11141,23639,14877,12353,3055,12732,9966,14699,29257,4478,10922,2356,3439,17989,6746,7330,19150,2709,22050,8866,2122,8413,1105,3355,-434,4585,5310,15464,11446,5637,233,1382,5104,-15,22922,9206,8505,11286,16069,3764,11171,4524,10370,437,18403,1619,345,14788,2928,-33,3512,3845,23352,15439,-287,5706,16613,9649,10541,-238,889,8319,10564,15538,5828,4743,5505,2714,10912,3451,2463,3047,7943,5452,5111,7968,7480,11606,4509,13075,-2152,6029,8098,7041,17328,22988,2282,18723,27061,1964,4323,13240,8167
"AML",1888,1027,20658,5952,1260,14225,110,19842,22502,15270,20066,13573,26766,6367,68,23869,747,-11169,14776,4795,17846,13015,-124,21021,1676,276,6440,16811,150,198,-171,7689,593,2912,3290,2332,379,17753,2776,107,86,6212,16963,19251,19046,3861,21229,36,15369,29147,22296,2268,3992,169,6574,12208,-11,3201,10428,10986,15692,16363,26868,14530,14517,16830,18941,14238,1510,1174,22613,23111,23661,4254,3513,9495,8872,778,2745,-128,10507,-201,18,14775,26414,10989,20847,3267,11562,1027,10,15828,904,13058,16071,15796,15202,17626,14911,21079,16,22205,9054,2171,27224,2493,7213,7878,14988,25439,23671,-314,4086,20338,3341,14571,-190,1178,7538,4306,24511,14020,4780,12353,-25,4038,3537,17729,3461,11209,3379,3720,11229,1,24115,6371,14689,-483,5106,11283,12110,25790,19557,460,22032,24890,11667,20088,1670,20506
"AML",14395,20848,19266,20880,566,30946,15808,23458,1950,8869,16737,18799,26512,18852,4955,21043,9006,-20698,16994,7990,21404,37936,-5,19002,13774,2080,18212,18146,11857,1536,12410,11468,8252,18937,16588,20883,3704,10910,8897,4904,48,23927,14715,16037,19069,4705,7145,1396,14240,26012,18943,3804,14234,812,14087,18951,593,3584,11134,11733,14266,6935,20191,18122,20591,16171,17159,6798,1682,24214,21448,12454,22637,11190,12448,13421,621,4537,2256,-102,6632,1099,372,13243,23274,16288,14077,7391,7451,6330,3628,18206,635,18131,16279,9659,7982,10557,7728,12745,8507,21306,6371,705,21375,1636,19568,11585,8256,21563,18944,-557,11753,16986,8472,9441,708,3410,8996,6061,20843,10560,4158,15600,510,5963,4578,14252,10136,11094,4125,3728,8264,123,20086,7056,17808,20519,6654,7732,8111,13765,15109,686,22180,23213,12054,17212,1005,17020
"AML",37717,34322,37749,20351,313,20389,27602,36297,1150,3650,27682,7904,28067,15017,10805,15497,10171,-22571,27481,4817,2745,1912,-440,20667,17279,1182,9228,24915,5949,2339,6177,15950,20459,12959,12524,8126,6710,13818,5732,7733,-86,21880,11446,10433,28010,11291,3228,1914,21332,15707,12939,2204,11010,82,14353,17569,8049,1424,17720,8453,20836,2576,17617,15775,13878,23947,12832,5617,2469,5754,25327,14423,17062,9137,11390,6923,1345,820,645,-104,11621,492,-362,6456,30525,13287,7733,2236,6201,1319,19878,18555,400,17595,15719,7339,4980,11654,5104,5959,5497,25597,4406,2429,25253,4264,9851,8898,4300,17780,17424,-66,2992,11798,9765,7848,211,1693,5070,5209,23748,7806,2799,13249,-259,4628,2431,11044,6613,12627,1844,4193,7037,74,19357,6957,17231,-2415,2753,6965,5845,18343,16740,382,27916,23704,4801,16519,595,19295
"AML",20563,14464,18595,18938,-61,31442,7711,20000,1923,18252,14464,7518,20472,21896,-152,20576,9138,-24493,13022,16561,11686,4994,-324,23636,11036,115,18486,14763,607,45,43,17961,13144,14461,17465,12833,585,15832,7915,1014,-101,19954,14056,15098,16269,15105,5674,-225,13876,19082,15761,851,14103,45,14470,22695,1232,14131,8792,12704,14007,7219,20038,10688,18520,15769,15392,6079,578,1934,19127,19602,18947,14650,14978,13668,1235,1527,15391,-881,12168,-177,544,12496,24782,12480,13549,4149,9830,1243,9620,15401,364,12166,18320,12933,6808,13143,7148,8248,13949,19355,7018,279,25251,305,6595,9850,6628,20699,18672,-753,4624,18058,10345,8523,-677,2680,7033,10467,23841,11109,5420,13045,4198,10245,2365,15545,6232,16902,3281,3292,9912,120,21647,7281,13624,-659,3883,9292,6676,20390,16355,-160,19900,19497,6410,15206,1307,17877
"AML",4943,8064,31068,15525,9877,20878,3976,31321,8438,10343,24601,17889,13339,31534,17085,1613,22222,-11978,21609,7518,10737,15665,-353,11457,15196,-51,24089,17932,21946,60,15963,2993,20,2913,23593,12965,20487,21734,10343,7331,-43,21037,26920,24180,28110,968,5460,-104,22225,22720,19448,790,4078,138,4452,20443,11264,5345,15305,8505,15696,7174,9813,11651,12622,19589,6327,16396,322,988,19866,24064,10351,7334,5732,7534,4944,787,4121,2229,12122,-308,235,18426,29391,17604,15130,1540,2318,648,155,17436,6009,11063,12238,9952,1867,20719,1649,14946,681,25784,5269,2017,35742,10447,4366,2486,2704,20039,25035,-4,8051,14870,14722,9696,-296,1629,11593,3616,20406,9883,2023,11557,486,3922,7796,11077,8514,22141,4525,5153,18426,-218,26990,7248,17868,1301,4223,6542,7574,15328,15161,155,19526,20861,7442,16627,968,13623
